HGNC.symbol	Gene.stable.ID	MGI.symbol
TIAM1	ENSMUSG00000002489	Tiam1
PGF	ENSMUSG00000004791	Pgf
ZNF385A	ENSMUSG00000000552	Zfp385a
DSC3	ENSMUSG00000059898	Dsc3
DSG3	ENSMUSG00000056632	Dsg3
SOX7	ENSMUSG00000063060	Sox7
PARVB	ENSMUSG00000022438	Parvb
CNTNAP3B	ENSMUSG00000033063	Cntnap3
MAMDC2	ENSMUSG00000033207	Mamdc2
RIMBP3B	ENSMUSG00000071636	Rimbp3
RIMBP3	ENSMUSG00000071636	Rimbp3
PALMD	ENSMUSG00000033377	Palmd
SLITRK6	ENSMUSG00000045871	Slitrk6
FHOD3	ENSMUSG00000034295	Fhod3
MTSS1	ENSMUSG00000022353	Mtss1
GSDMC	ENSMUSG00000079025	Gsdmc
GSDMC	ENSMUSG00000056293	Gsdmc2
GSDMC	ENSMUSG00000055827	Gsdmc3
GSDMC	ENSMUSG00000055748	Gsdmc4
SLC1A3	ENSMUSG00000005360	Slc1a3
FOXD1	ENSMUSG00000078302	Foxd1
CNTNAP3	ENSMUSG00000033063	Cntnap3
FAM169A	ENSMUSG00000041817	Fam169a
A4GALT	ENSMUSG00000047878	A4galt
SNAI2	ENSMUSG00000022676	Snai2
SLCO1B3	ENSMUSG00000030236	Slco1b2
GJB2	ENSMUSG00000046352	Gjb2
WNT7B	ENSMUSG00000022382	Wnt7b
IL12RB2	ENSMUSG00000018341	Il12rb2
GJB6	ENSMUSG00000040055	Gjb6
ADRB2	ENSMUSG00000045730	Adrb2
LYNX1	ENSMUSG00000075605	Slurp2
SRPX2	ENSMUSG00000031253	Srpx2
PRODH	ENSMUSG00000003526	Prodh
ABCA4	ENSMUSG00000028125	Abca4
BASP1	ENSMUSG00000045763	Basp1
PDCD1LG2	ENSMUSG00000016498	Pdcd1lg2
ANKRD33B	ENSMUSG00000022237	Ankrd33b
TG	ENSMUSG00000053469	Tg
TMEM45A	ENSMUSG00000022754	Tmem45a
TMEM45A	ENSMUSG00000046748	Tmem45a2
KLHDC7B	ENSMUSG00000091680	Klhdc7b
LY6D	ENSMUSG00000034634	Ly6d
TUBB6	ENSMUSG00000001473	Tubb6
NDRG1	ENSMUSG00000005125	Ndrg1
MAPK12	ENSMUSG00000022610	Mapk12
PHEX	ENSMUSG00000057457	Phex
NKX3-1	ENSMUSG00000022061	Nkx3-1
BTBD11	ENSMUSG00000020042	Btbd11
GCLM	ENSMUSG00000028124	Gclm
SOX2	ENSMUSG00000074637	Sox2
