HGNC.symbol	Gene.stable.ID	MGI.symbol
SLC6A7	ENSMUSG00000052026	Slc6a7
B4GALT6	ENSMUSG00000056124	B4galt6
DSG1	ENSMUSG00000034774	Dsg1c
DSG1	ENSMUSG00000069441	Dsg1a
DSG1	ENSMUSG00000061928	Dsg1b
HGD	ENSMUSG00000022821	Hgd
PGM5	ENSMUSG00000041731	Pgm5
SI	ENSMUSG00000027790	Sis
SIDT1	ENSMUSG00000022696	Sidt1
IL23R	ENSMUSG00000049093	Il23r
MYO7B	ENSMUSG00000024388	Myo7b
SLAIN1	ENSMUSG00000055717	Slain1
SCUBE1	ENSMUSG00000016763	Scube1
DACH1	ENSMUSG00000055639	Dach1
TERT	ENSMUSG00000021611	Tert
NOX1	ENSMUSG00000031257	Nox1
A1CF	ENSMUSG00000052595	A1cf
WNK2	ENSMUSG00000037989	Wnk2
ADGRG7	ENSMUSG00000022755	Adgrg7
FABP1	ENSMUSG00000054422	Fabp1
SLC17A4	ENSMUSG00000021336	Slc17a4
ST6GALNAC3	ENSMUSG00000052544	St6galnac3
GFRA1	ENSMUSG00000025089	Gfra1
TINAG	ENSMUSG00000032357	Tinag
KLK1	ENSMUSG00000063089	Klk1b8
KLK1	ENSMUSG00000063133	Klk1b1
KLK1	ENSMUSG00000059042	Klk1b9
KLK1	ENSMUSG00000044485	Klk1b11
KLK1	ENSMUSG00000053719	Klk1b26
KLK1	ENSMUSG00000063177	Klk1b27
KLK1	ENSMUSG00000066516	Klk1b21
KLK1	ENSMUSG00000060177	Klk1b22
FAR2	ENSMUSG00000030303	Far2
STK31	ENSMUSG00000023403	Stk31
COCH	ENSMUSG00000020953	Coch
AGR2	ENSMUSG00000020581	Agr2
TNFRSF11B	ENSMUSG00000063727	Tnfrsf11b
ANG	ENSMUSG00000072115	Ang
ANG	ENSMUSG00000047894	Ang2
ANG	ENSMUSG00000060615	Ang4
TM4SF20	ENSMUSG00000026149	Tm4sf20
DNAJC12	ENSMUSG00000036764	Dnajc12
TOX	ENSMUSG00000041272	Tox
COL28A1	ENSMUSG00000068794	Col28a1
RAB26	ENSMUSG00000079657	Rab26
FGF13	ENSMUSG00000031137	Fgf13
PKHD1L1	ENSMUSG00000038725	Pkhd1l1
ATP8A1	ENSMUSG00000037685	Atp8a1
ME1	ENSMUSG00000032418	Me1
GMDS	ENSMUSG00000038372	Gmds
SLC7A11	ENSMUSG00000027737	Slc7a11
C3orf70	ENSMUSG00000043391	2510009E07Rik
AKAP5	ENSMUSG00000021057	Akap5
FFAR4	ENSMUSG00000054200	Ffar4
DLGAP1	ENSMUSG00000003279	Dlgap1
HSPA2	ENSMUSG00000059970	Hspa2
CDIP1	ENSMUSG00000004071	Cdip1
SLC1A7	ENSMUSG00000008932	Slc1a7
TLL2	ENSMUSG00000025013	Tll2
GRIP2	ENSMUSG00000030098	Grip2
REP15	ENSMUSG00000040121	Rep15
C2	ENSMUSG00000024371	C2
KRT20	ENSMUSG00000035775	Krt20
RPGRIP1	ENSMUSG00000057132	Rpgrip1
CRACR2A	ENSMUSG00000061414	Cracr2a
XK	ENSMUSG00000015342	Xk
RNF186	ENSMUSG00000070661	Rnf186
GRIN2B	ENSMUSG00000030209	Grin2b
MYB	ENSMUSG00000019982	Myb
HOXA2	ENSMUSG00000014704	Hoxa2
UGT1A8	ENSMUSG00000090165	Ugt1a10
UGT1A8	ENSMUSG00000090175	Ugt1a9
UGT1A8	ENSMUSG00000089675	Ugt1a8
FRMD3	ENSMUSG00000049122	Frmd3
NWD2	ENSMUSG00000090061	Nwd2
GPRIN3	ENSMUSG00000045441	Gprin3
JPH1	ENSMUSG00000042686	Jph1
PDE3B	ENSMUSG00000030671	Pde3b
CHRM3	ENSMUSG00000046159	Chrm3
FAM222A	ENSMUSG00000041930	Fam222a
HECW2	ENSMUSG00000042807	Hecw2
HES6	ENSMUSG00000067071	Hes6
MYRFL	ENSMUSG00000034057	Myrfl
CCRL2	ENSMUSG00000043953	Ccrl2
PLA2G4F	ENSMUSG00000046971	Pla2g4f
ATP2C2	ENSMUSG00000034112	Atp2c2
CGNL1	ENSMUSG00000032232	Cgnl1
LRRC75A	ENSMUSG00000046417	Lrrc75a
VIPR1	ENSMUSG00000032528	Vipr1
CHN2	ENSMUSG00000004633	Chn2
SLC39A5	ENSMUSG00000039878	Slc39a5
MYRIP	ENSMUSG00000041794	Myrip
TAS2R38	ENSMUSG00000058250	Tas2r138
